9X,Y
1887.86058986016,437.592686109477
1826.59123707707,440.860052298752
1788.51651249734,427.88802199481
1734.91014017979,413.57903651303
1670.61441517055,404.670061598536
1622.10032002011,383.972828592725
1567.90403708796,374.777746049731
1514.53251363665,368.887709951509
1453.04285617784,367.738949356169
1409.58486044911,359.64666672289
1359.33611422286,352.958297547605
1312.10300337964,345.713399025519
1255.95239015771,332.001582182427
1216.82079162997,319.718534495541
1175.77272546882,307.539536882764
1139.69957482131,291.91954937872
1095.91176827548,284.048148975468
1047.31594732412,284.591132726312
1007.65441264883,278.928759727945
966.633762011786,275.357900608604
925.594454354086,272.813773831709
875.665974220654,272.634471097645
826.482394998295,270.950185956658
786.259982341252,263.448919738881
747.781271162058,266.212884251646
711.302227000263,280.63623121208
686.046692933053,295.38762864618
644.35580169679,299.977847574561
635.593223488579,302.171346815229
619.476573721064,301.794172500695
602.395184401501,311.526457525977
577.728079985099,327.28025706725
554.61686771534,345.349988386305
527.909988715015,359.472121678246
506.621709323511,373.074689517541
496.009448655602,378.570671368458
479.38826747078,377.684014172063
464.781374594251,367.61064027542
438.666572215477,359.850195116217
415.701624939193,359.051561119596
388.398511800216,356.748567797069
360.270262088064,354.185650273288
334.055903401364,350.879545071399
309.241498046832,344.032530967622
281.35796691481,337.593443737219
259.544130228676,324.559292390407
237.558860794384,304.397439745977
224.626900841091,289.353588368176
200.558389754419,263.789594245838
177.112625518965,246.024336720026
148.204059486558,225.460827096214
125.070727792929,212.403316458281
97.2024509770841,202.41473875234
73.1443714850926,198.835230911313
41.1542476190621,200.70592701662
10.004658158906,195.286135483813
