X,Y
1883.21117817911,248.330328713498
1883.21117817911,248.330328713498
1883.21117817911,248.330328713498
1883.21117817911,248.330328713498
1883.93736159857,247.168096305196
1884.40672825437,246.912051290341
1882.99593204286,247.008985379927
1884.40672825437,246.912051290341
1882.99593204286,247.008985379927
1884.40672825437,246.912051290341
1767.40009048978,231.096695677234
1771.54762216903,225.930380497534
1772.25457558984,225.567765904706
1770.92120812551,226.179295899867
1772.28016386352,225.556414056127
1770.31129212808,226.472259652723
1772.25457558984,225.567765904706
1770.33535277887,226.437858741713
1772.28016386352,225.556414056127
1770.31129212808,226.472259652723
1677.93232552302,193.638526686395
1679.89703667465,194.678590551041
1678.47828246039,194.145306311811
1678.80425010378,193.631830045438
1678.0925798555,193.741578194917
1678.80425010378,193.631830045438
1678.0925798555,193.741578194917
1678.80425010378,193.631830045438
1678.0925798555,193.741578194917
1678.80425010378,193.631830045438
1579.75710404094,166.363439924988
1576.01917897089,169.857502377675
1575.95798555385,169.040770955714
1575.32978425344,168.315239009921
1575.88400075331,168.865177568928
1575.31710081815,168.274803595966
1575.72609309676,168.680822083209
1575.32978425344,168.315239009921
1575.88400075331,168.865177568928
1575.31710081815,168.274803595966
1466.97463190789,147.114081780381
1468.50844299989,146.455412034501
1469.97377349978,146.665541506815
1468.35939787492,147.516992480561
1468.7547145223,147.064152000328
1467.71243987474,147.019085273117
1467.55031529599,147.147184551972
1469.00563519952,147.7987558732
1468.57177823041,147.143690209894
1467.62276165456,146.956184301374
1369.97793418189,129.320122094378
1370.85154439319,131.185672129125
1370.00175748356,131.66236685844
1368.07636327404,133.360175137124
1370.2797662357,131.306957930205
1370.02233871134,131.238632309453
1369.22407198569,131.808887492302
1368.07636327404,133.360175137124
1370.2797662357,131.306957930205
1370.02233871134,131.238632309453
1279.42904401642,107.861697534004
1278.77894894416,109.245461649832
1279.47722794709,109.765431086344
1279.1221113035,109.338908855079
1278.63205829501,108.283382003212
1278.71341481306,108.280302140338
1279.36101879066,109.753690002906
1279.1221113035,109.338908855079
1278.63205829501,108.283382003212
1278.71341481306,108.280302140338
1217.180974114,79.0880140128684
1218.27270038849,78.8635617798172
1218.11962931367,78.9027889819185
1218.11962931367,78.9027889819185
1218.11962931367,78.9027889819185
1218.19366963364,78.2033808133759
1218.19366963364,78.2033808133759
1218.19366963364,78.2033808133759
1218.19366963364,78.2033808133759
1218.19366963364,78.2033808133759
1153.26183886896,52.199836343359
1152.94958501905,54.8541919590826
1154.65999963816,58.0956937541902
1154.65865679091,58.0979016234568
1154.65865679091,58.0979016234568
1154.65999963816,58.0956937541902
1154.65999963816,58.0956937541902
1154.65865679091,58.0979016234568
1154.65865679091,58.0979016234568
1154.65999963816,58.0956937541902
1091.55441350523,17.1035535311582
1090.97041921765,20.2471842727245
1091.32347136788,19.7610270129623
1090.87992901377,20.6153209904138
1091.06952581428,21.3557064334703
1091.06952581428,21.3557064334703
1090.87992901377,20.6153209904138
1092.29265154672,20.6462875680668
1091.81175814065,20.8575305692231
1091.43404447774,20.5383030157842
