X,Y
1799.05298128772,405.44824466469
1799.05298128772,405.44824466469
1823.88856563708,411.735898202328
1824.79053279542,412.348132345149
1823.50931474382,418.756757118993
1822.80265160278,418.322986365602
1831.31052325711,431.154434951326
1831.27711019801,431.211258622479
1820.59827767309,432.409472057923
1820.94747653048,431.950959309712
1738.17995946794,408.281863369846
1738.09626119615,408.277159926245
1670.76209241604,382.842688438448
1670.76209241604,382.842688438448
1605.16146279303,368.539912400041
1604.53342723605,368.544624791143
1538.1849917107,340.330341825425
1538.04624401509,340.349076158124
1474.04759889899,320.344178865436
1474.04759889899,320.344178865436
1406.52501253371,296.961057083287
1406.52501253371,296.961057083287
1339.30654050855,283.910457348172
1339.30654050855,283.910457348172
1287.41949163913,259.499197325328
1287.32861323202,259.679447665073
1219.77750407572,254.940551779359
1219.3608806073,254.953031852551
1156.27275363499,238.436261892857
1156.27275363499,238.436261892857
1083.08151984682,229.142838161998
1082.8309531129,229.25204147015
1025.02935759298,210.365227973245
1025.02935759298,210.365227973245
975.29113467066,195.865089368397
974.828416437002,196.005056441858
921.269072324711,183.465796359725
921.235981767597,183.515350587555
868.091372451599,183.992337941882
868.747946646249,183.75743493995
810.806575186419,190.010844945267
811.772383092198,188.276466944173
767.685267102818,205.693108604396
767.312093508748,205.90702221042
718.442361620993,221.542453522557
718.442361620993,221.542453522557
678.765798381658,239.119038343222
678.66195657058,239.01454413756
648.877949419359,254.971561272223
649.540616095858,254.933406289896
621.757097315668,268.447538062022
621.383562764997,269.363523837541
603.88903145032,285.169822975205
603.88903145032,285.169822975205
580.68008882943,299.465351038486
580.124834991599,299.432166499789
555.471989611581,320.966484611857
555.471989611581,320.966484611857
538.917658680907,349.97995695313
539.250360243772,351.108942468017
522.825523000579,370.295578231633
522.398604290569,369.849150578251
510.694578490822,395.337399166663
510.694578490822,395.337399166663
505.155669498217,422.535473895291
505.411370093983,422.658320501711
497.332404185675,440.423249301334
496.957289044318,440.620416000587
489.232879210162,469.576857367584
489.232879210162,469.576857367584
483.787192594856,494.706913361469
483.012320968133,495.261878719434
479.123949252739,521.147011110128
477.58060773116,523.923083232002
469.290021499809,549.780832476802
469.834931336346,547.316282567425
457.298695967651,573.450531603011
457.06760157842,573.449032855566
447.383894863549,588.990307895704
447.094295109131,588.924864057375
442.167028851769,595.641650904456
442.167028851769,595.641650904456
421.853075931645,601.361820894104
422.427719959139,600.643036161507
399.803130526816,605.312533229921
399.581393146808,605.643242904678
364.908001133183,615.068832433154
365.011172816968,614.871150763921
328.95796905952,618.58617586354
328.742715246691,618.693269159387
277.871196461747,625.936067735663
277.952729746826,625.85166190985
228.540740850986,628.739037809913
228.540740850986,628.739037809913
170.231618446823,626.910521712105
170.18630630049,627.49066630661
127.292416371772,627.9895425059
127.462959456033,628.300034136973
86.1494747145623,623.116973136626
84.9927611631611,623.464277164485
37.9976370553093,617.138017752654
37.9976370553093,617.138017752654
